City_ID,City_Name,City_CountryCode,City_IATACode,City_Latitude,City_Longitude,City_RadiusOverrideMI
838,"Bourgas (Burgas), Bulgaria",BG,BOJ,42.5078476291,27.4604875410,9.0
6751,"Sofia, Bulgaria",BG,SOF,42.6923806330,23.3244794385,9.0
227413,"Sunny Beach, Bulgaria",BG,BOJ,42.6952930000,27.7103980000,5.0
505,"Manama, Bahrain",BH,BAH,26.2242228698,50.5903444336,6.0
57401,"St. Barthelemy, Saint Barthélemy",BL,SBH,17.9073260000,-62.8339920000,6.0
232847,"Bermuda, Bermuda",BM,BDA,32.3105580000,-64.7545553000,12.0
232836,"Bahamas (All Bahamas), Bahamas",BS,NAS,24.4913493512,-77.8293204687,60.0
4947,"Nassau, Bahamas",BS,NAS,25.0164517116,-77.4061114502,10.0
232990,"Chobe National Park, Botswana",BW,BBK,-18.4663206586,24.5167278117,65.0
2283,"Francistown, Botswana",BW,FRW,-21.1760078628,27.5099658203,10.0
2358,"Gaborone, Botswana",BW,GBE,-24.6659784956,25.8949842432,11.0
2526,"Ghanzi, Botswana",BW,GNZ,-21.6955340378,21.6484718940,9.0
2915,"Hukuntsi, Botswana",BW,HUK,-23.9925872732,21.7649345398,8.0
3379,"Jwaneng, Botswana",BW,JWA,-24.6028094215,24.7205696724,8.0
532,"Kasane, Botswana",BW,BBK,-17.8008147241,25.1697410583,9.0
3547,"Khwai River Lodge, Botswana",BW,KHW,-19.0000000000,23.5000000000,25.0
4162,"Lobatse, Botswana",BW,LOQ,-25.2067415304,25.6840039365,7.0
4792,"Maun, Botswana",BW,MUB,-19.9972903415,23.4195686719,9.0
5422,"Orapa, Botswana",BW,ORP,-21.3329663605,25.4146118164,10.0
6924,"Savuti, Botswana",BW,SVT,-18.5695570151,24.0661658623,11.0
5730,"Selebi-Phikwe, Botswana",BW,PKW,-21.9774293118,27.8393273018,7.0
6952,"Shakawe, Botswana",BW,SWX,-18.3689971058,21.8419150688,8.0
6964,"Suapan, Botswana",BW,SXN,-20.7812867896,26.1166670000,30.0
7070,"Tsabong, Botswana",BW,TBY,-26.0191646031,22.4055555498,8.0
7250,"Tuli Block, Botswana",BW,TLD,-22.1400895696,29.1146070635,9.0
8417,"Banff, Canada",CA,YYC,51.1748480272,-115.5697559048,4.0
8845,"Calgary, Alberta, Canada",CA,YYC,51.0347715920,-114.0517487305,20.0
232999,"Kicking Horse Mountain Resort, Golden, British Columbia, Canada",CA,YRV,51.2981673141,-117.0481714178,4.0
8630,"Montreal, Canada",CA,YMQ,45.5158659706,-73.6454908525,14.0
8671,"Ottawa, Ontario, Canada",CA,YOW,45.4115720000,-75.6981940000,12.0
8777,"Toronto, Canada",CA,YTO,43.6535240000,-79.3839070000,12.0
8807,"Vancouver, British Columbia, Canada",CA,YVR,49.2110118629,-123.0754748516,18.0
9106,"Zurich, Switzerland",CH,ZRH,47.3673470000,8.5500020000,5.0
